arm,role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
seq,dev,50000,10,102400,1057,5029,683795,1024000,0.010322265625,0.00972131426816833,0.010959955385883999,0.049111328125,0.04780456804535028,0.05045191643298668,0.6677685546875,3.90546147639187
seq,dev,50000,11,102400,195,2858,686653,1126400,0.001904296875,0.0016553091554200054,0.002190654562445679,0.02791015625,0.026918865585915195,0.02893686577471735,0.609599609375,4.041416230548347
seq,dev,50000,12,102400,36,2120,688773,1228800,0.0003515625,0.00025396665907567153,0.0004866448037393439,0.020703125,0.019848821840291804,0.02159338773274707,0.56052490234375,4.081989593751496
seq,ood_dev,50000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.016052322001254424
seq,ood_dev,50000,2,102400,100708,100708,203108,204800,0.9834765625,0.9826774469962324,0.98423940484684,0.9834765625,0.9826774469962324,0.98423940484684,0.99173828125,0.0737427550280817
seq,ood_dev,50000,3,102400,100599,102219,305327,307200,0.982412109375,0.9815887207268107,0.9831993047275792,0.998232421875,0.9979557802331772,0.9984716832915402,0.9939029947916667,0.008238581757427194
seq,ood_dev,50000,4,102400,99487,100982,406309,409600,0.971552734375,0.9705166672372647,0.9725534229490977,0.98615234375,0.9854181430288471,0.9868500705619228,0.99196533203125,0.04484120801233454
seq,ood_dev,50000,5,102400,95066,96930,503239,512000,0.92837890625,0.9267834241035962,0.9299422489784959,0.94658203125,0.9451879268112047,0.9479426305690914,0.982888671875,0.16904839619792603
seq,ood_dev,50000,6,102400,80350,83843,587082,614400,0.78466796875,0.7821396643981549,0.7871749156944678,0.818779296875,0.8164080401354675,0.8211266369816329,0.955537109375,0.5893893564743276
seq,ood_dev,50000,7,102400,48434,54582,641664,716800,0.47298828125,0.46993138018480135,0.4760472088877134,0.53302734375,0.5299704065033259,0.5360818030978147,0.8951785714285714,1.6003933647330195
seq,ood_dev,50000,8,102400,18764,26276,667940,819200,0.1832421875,0.18088458036709726,0.18562355960256632,0.2566015625,0.25393563651971357,0.2592857496130985,0.8153564453125,2.7564564626463244
seq,ood_dev,50000,9,102400,5087,10955,678895,921600,0.049677734375,0.048363739891694985,0.05102551459162902,0.106982421875,0.10510399621814721,0.10889033394214108,0.7366482204861111,3.5442517922290584
seq,ood_dev,50000,10,102400,1070,4993,683888,1024000,0.01044921875,0.009844509172952442,0.0110906572063556,0.048759765625,0.04745752029084213,0.05009586556370978,0.667859375,3.9052881322209534
seq,ood_dev,50000,11,102400,182,2839,686727,1126400,0.00177734375,0.0015373753910801126,0.0020546916015298563,0.027724609375,0.02673658808286161,0.028748063448551044,0.6096653053977272,4.040731444949415
seq,ood_dev,50000,12,102400,29,2104,688831,1228800,0.000283203125,0.00019720089252478316,0.00040669694899869344,0.020546875,0.019695804752138613,0.02143391654366246,0.5605721028645834,4.0815613292847415
seq,ood_dev,50000,13,102400,3,1808,690639,1331200,2.9296875e-05,9.963630217849646e-06,8.614076079419689e-05,0.01765625,0.016867517529074724,0.018481170637826987,0.5188093449519231,4.093558890010463
seq,ood_dev,50000,14,102400,0,1765,692404,1433600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017236328125,0.01645708807444747,0.01805178784737764,0.48298270089285716,4.096228059645509
seq,ood_dev,50000,15,102400,0,1735,694139,1536000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016943359375,0.016170814160317883,0.017752146241686355,0.45191341145833336,4.096361839987804
seq,ood_dev,50000,16,102400,0,1754,695893,1638400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01712890625,0.016352113976826295,0.017941926254397833,0.4247393798828125,4.096056577104609
seq,ood_dev,50000,17,102400,0,1733,697626,1740800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016923828125,0.016151731387651833,0.017732167979697674,0.40075022977941177,4.096058295830153
seq,ood_dev,50000,18,102400,0,1665,699291,1843200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016259765625,0.015503082034887343,0.017052742154201505,0.3793896484375,4.095900054951199
