role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
ood_dev,20000,16,102400,481,3185,1372210,1638400,0.004697265625,0.0042966498219237145,0.0051350418515677,0.031103515625,0.030057714660702128,0.032184495865978026,0.837530517578125,7.881844345553019
ood_dev,20000,17,102400,38,2006,1374216,1740800,0.00037109375,0.00027039213856987833,0.0005092803588998625,0.01958984375,0.018758866223402695,0.02045686437431683,0.7894163602941177,7.963590986995823
ood_dev,20000,18,102400,1,1703,1375919,1843200,9.765625e-06,1.7238746867777096e-06,5.5319481670543434e-05,0.016630859375,0.01586552269446015,0.017432461153068485,0.7464838324652778,7.731508092224394
ood_dev,20000,19,102400,0,1722,1377641,1945600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01681640625,0.016046781011694225,0.017622282665054292,0.7080802837171053,7.564118681512627
ood_dev,20000,20,102400,0,1753,1379394,2048000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017119140625,0.016342571276687833,0.017931938437208937,0.6735322265625,7.475319297443057
ood_dev,20000,21,102400,0,1725,1381119,2150400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016845703125,0.016075403021209946,0.01765225220752066,0.6422614397321429,7.4766631745055205
ood_dev,20000,22,102400,0,1629,1382748,2252800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.015908203125,0.015159813223057182,0.016692912342246607,0.6137908380681818,7.516735595244245
ood_dev,20000,23,102400,0,1643,1384391,2355200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016044921875,0.015293295349832233,0.016832857458054636,0.5878018851902174,7.555305207378114
ood_dev,20000,24,102400,0,1776,1386167,2457600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01734375,0.01656207018012992,0.018161641432296188,0.5640327962239583,7.600842676347965
ood_dev,20000,25,102400,0,1783,1387950,2560000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.017412109375,0.01662888111071926,0.018231544122998385,0.54216796875,7.649949486920159
ood_dev,20000,26,102400,0,1728,1389678,2662400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016875,0.016104025646818412,0.01768222113389429,0.5219643930288461,7.7097095885974705
ood_dev,20000,27,102400,0,1758,1391436,2764800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01716796875,0.016390285444758016,0.01798187685577556,0.5032682291666667,7.744363294790092
ood_dev,20000,28,102400,0,1643,1393079,2867200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016044921875,0.015293295349832233,0.016832857458054636,0.48586739676339286,7.805074031724434
ood_dev,20000,29,102400,0,1718,1394797,2969600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01677734375,0.016008619293442074,0.017582322313996996,0.46969187769396553,7.803242968617415
ood_dev,20000,30,102400,0,1687,1396484,3072000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016474609375,0.015712903628576462,0.017272591941714363,0.45458463541666666,7.8410532260914625
ood_dev,20000,31,102400,0,1666,1398150,3174400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01626953125,0.015512618627879053,0.017062736078537158,0.4404454385080645,7.870937853734358
ood_dev,20000,32,102400,0,1688,1399838,3276800,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016484375,0.015722441792261517,0.017282584295356673,0.4271966552734375,7.898342891489592
ood_dev,20000,33,102400,0,1656,1401494,3379200,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016171875,0.015417255951115785,0.016962793582026795,0.41474135890151514,7.926471291988856
ood_dev,20000,34,102400,0,1730,1403224,3481600,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01689453125,0.016123107738719566,0.01770220007664786,0.40303998161764704,7.930590083908028
ood_dev,20000,35,102400,0,1683,1404907,3584000,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.016435546875,0.01567475168184742,0.01723262181913395,0.391994140625,7.93846456704603
ood_dev,20000,36,102400,0,1706,1406613,3686400,0.0,3.3881317890172014e-21,3.751283902995844e-05,0.01666015625,0.015894140765027154,0.017462434634483562,0.38156819661458335,7.958878150765668
dev,25000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,3.316076624764186e-05
dev,25000,2,102400,102400,102400,204800,204800,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,5.625048233801888e-05
dev,25000,3,102400,102399,102399,307199,307200,0.999990234375,0.9999446805183295,0.9999982761253133,0.999990234375,0.9999446805183295,0.9999982761253133,0.9999967447916667,0.00013163153112418695
dev,25000,4,102400,102390,102391,409590,409600,0.99990234375,0.9998202295599984,0.9999469524276979,0.999912109375,0.9998329541276058,0.999953758377418,0.9999755859375,0.0003602483587079819
