first_update,update,updates_in_bin,training_seconds,loss,token_accuracy,whole_word_exact,grad_norm
58701,58800,100,3222.154445287986,0.0010492268242342107,0.9998307371139527,0.999345703125,0.19099651568511036
58801,58900,100,3227.608495885981,0.001289887148896014,0.9998160880804062,0.999296875,0.2672372665384319
58901,59000,100,3233.042890761979,0.001191088224259147,0.9998095804452896,0.999267578125,0.24946944952593186
59001,59100,100,3238.466413683971,0.0012590150047071802,0.9998331820964813,0.99939453125,0.1920350805099588
59101,59200,100,3243.9040368579717,0.000873084842787648,0.999855967760086,0.999404296875,0.23105969412019475
59201,59300,100,3249.373533146978,0.0006656545063924568,0.9998885148763657,0.999501953125,0.14851288070203736
59301,59400,100,3254.852135243971,0.0010447708228093688,0.9998388773202896,0.999287109375,0.22477692537475377
59401,59500,100,3260.2879997149703,0.0014046379672072362,0.9997892361879349,0.999189453125,0.3292654072050937
59501,59600,100,3265.7340732139655,0.0007161682713012851,0.9998860746622086,0.9995703125,0.178194787055254
59601,59700,100,3271.1764854029734,0.0009040767255646642,0.9998315525054932,0.99921875,0.27090883173048497
59701,59800,100,3276.599493657961,0.0010854436954832636,0.9998356193304062,0.999404296875,0.2214978636120213
59801,59900,100,3282.029037217955,0.0013486482812731992,0.9998087656497955,0.999365234375,0.25242070585140025
59901,60000,100,3287.557311330964,0.0008130111814898555,0.9998380625247956,0.99927734375,0.2657158864312805
60001,60100,100,3293.076156225965,0.0015087266835143965,0.9997819119691849,0.999072265625,0.26915887601324356
60101,60200,100,3298.7445895549645,0.0008152472311667224,0.9998730528354645,0.999541015625,0.16269358241319423
60201,60300,100,3304.2776833549633,0.0010832603704329813,0.9998478281497956,0.999482421875,0.17743317019660027
60301,60400,100,3309.7893036109726,0.0012488098828362126,0.9998063266277313,0.999208984375,0.30345651431358417
60401,60500,100,3315.299768012983,0.0009763311188544321,0.9998600327968598,0.999443359375,0.13721880950499327
60501,60600,100,3320.8583033889918,0.0005581369805759095,0.9999226933717728,0.999697265625,0.07464782581257168
60601,60700,100,3326.411065210992,4.187267347788293e-06,1.0,1.0,0.00013906030129874126
60701,60800,100,3331.961678682983,1.096180584454487e-06,1.0,1.0,2.1486945606739027e-05
60801,60900,100,3337.5000093709878,2.2582789078740005e-07,1.0,1.0,2.4413617381924268e-06
60901,61000,100,3343.048398627994,8.151941536027607e-08,1.0,1.0,6.74332264907207e-07
61001,61100,100,3348.602236739991,8.432732002461308e-08,1.0,1.0,8.01247964545837e-07
61101,61200,100,3354.1427091949918,9.095031479944282e-08,1.0,1.0,7.885753376513094e-07
61201,61300,100,3359.714610714991,0.00016645312304966353,0.999976401925087,0.99986328125,0.0753722209206694
