arm,first_update,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
head,13501,0.9971868395805359,0.002354928570566699,0.07559985481202602,0.9102894514799118,0.8384606391191483,0.0037066303472965954,0.9085764735937119,0.0005278438584355172,0.0013517017661069984,0.0009897986783471424,0.9995589381456376,1919.6518401490748,13600,100,0.002354928570566699
head,13601,0.9970713257789612,0.002408182208891958,0.07706981338560581,0.9103347510099411,0.8385245651006699,0.004011258219834417,0.9082226455211639,0.0011597898555919528,0.0016030760116700548,0.0021773960324935615,0.999474304318428,1934.1919627350626,13700,100,0.002408182208891958
head,13701,0.9971329867839813,0.002308379034511745,0.07640214078128338,0.910426676273346,0.8388774544000626,0.0035555494274012744,0.9086705297231674,0.0006043912726454437,0.0012471703777555377,0.0012330083845881745,0.9995963740348816,1948.7317832130566,13800,100,0.002308379034511745
head,13801,0.9971629828214645,0.002530589059460908,0.07595003396272659,0.9104054272174835,0.8385139256715775,0.0049504998279735445,0.9081602990627289,0.0010635924882080872,0.002419910784592503,0.0015442580479430035,0.9992301607131958,1963.2562108540524,13900,100,0.002530589059460908
head,13901,0.9969553053379059,0.002354651817586273,0.07866566255688667,0.9104218482971191,0.8376540690660477,0.003947909197304398,0.9086571484804153,0.00202894740505144,0.0015932573949976358,0.0026174386439379305,0.9994677942991257,1977.7302097140537,14000,100,0.002354651817586273
head,14001,0.9970400631427765,0.002287553782807663,0.07750795595347881,0.9104757606983185,0.837790459394455,0.003748035130556673,0.9083441197872162,0.0011377594564692117,0.0014604813406185713,0.0023397321347147226,0.9994962757825852,1992.2151298920517,14100,100,0.002287553782807663
head,14101,0.997401088476181,0.002377466440666467,0.07282128930091858,0.9105105996131897,0.837117999792099,0.004099282100796699,0.9085101336240768,0.00034191232407465577,0.0017218156560556963,0.0005553272640099749,0.9994401264190674,2006.727669056042,14200,100,0.002377466440666467
head,14201,0.9973417967557907,0.0023251607187557964,0.07351196371018887,0.9105557650327682,0.8372840285301208,0.003829106844495982,0.9084949344396591,0.0004948666828568093,0.0015039461113337893,0.0011890967434737831,0.9994759327173233,2021.1439971250302,14300,100,0.0023251607187557964
head,14301,0.9971756935119629,0.002364037196384743,0.07584542594850063,0.9106515944004059,0.8379226922988892,0.004059824962168932,0.9081158638000488,0.0005840119229105767,0.0016957877320237457,0.001160160478320904,0.9994572144746781,2035.4484891920192,14400,100,0.002364037196384743
head,14401,0.9973981529474258,0.0022549711028113963,0.07286125235259533,0.9106826782226562,0.8379256725311279,0.003678510517347604,0.9086644351482391,0.0008341712073161034,0.0014235394229763188,0.0014476944488706067,0.9995394057035446,2049.723549399024,14500,100,0.0022549711028113963
head,14501,0.9971317797899246,0.002299600448459387,0.07648324407637119,0.910773366689682,0.8384233862161636,0.0037123695155605674,0.9087429195642471,0.0012667610972130205,0.0014127690727036679,0.0016228793538175523,0.999537780880928,2063.981762343029,14600,100,0.002299600448459387
head,14601,0.9973351359367371,0.0022832214389927686,0.07354633137583733,0.9108149111270905,0.8377932906150818,0.003704032339155674,0.908694714307785,0.0005035245703766122,0.0014208109259197955,0.0013396567374002188,0.9995353382825851,2078.205018648031,14700,100,0.0022832214389927686
head,14701,0.997192919254303,0.0023852813406847416,0.07547756657004356,0.9108704179525375,0.8378392904996872,0.004154799515381455,0.9090077131986618,0.0006053174438420683,0.0017695181680028327,0.0011929631582461298,0.9994433772563934,2092.4720358610293,14800,100,0.0023852813406847416
head,14801,0.9973530769348145,0.002311042892979458,0.07348882034420967,0.9109046757221222,0.8375110775232315,0.003962079361081124,0.9085804671049118,0.0011211204255232587,0.001651036468829261,0.0012977118749404326,0.9994726723432541,2106.6635854230326,14900,100,0.002311042892979458
head,14901,0.9973595440387726,0.0021557555068284274,0.07332558184862137,0.9109502136707306,0.8376287966966629,0.003396869923453778,0.909012958407402,0.0005270563415251672,0.0012411144211364445,0.0015199744666460901,0.9995760285854339,2120.860971837038,15000,100,0.0021557555068284274
head,15001,0.9972069561481476,0.002315217524301261,0.07544968277215958,0.910999983549118,0.8378683775663376,0.003927582667674869,0.9091725796461105,0.0011889399320352823,0.0016123651780071669,0.0014628919016104192,0.999471862912178,2135.1711206050413,15100,100,0.002315217524301261
head,15101,0.9974255561828613,0.0021607987966854123,0.0724557489156723,0.911016508936882,0.8375607281923294,0.003554498292505741,0.9093723893165588,0.0008091147974482737,0.0013936994851974304,0.000922132283449173,0.9995337128639221,2149.4539026420252,15200,100,0.0021607987966854123
head,15201,0.997351348400116,0.002282665582606569,0.07332493178546429,0.911060243844986,0.8374189883470535,0.003897734230849892,0.9090098887681961,0.000901732226338936,0.0016150686500986922,0.0010663347129593603,0.9994800007343292,2163.699548422036,15300,100,0.002282665582606569
head,15301,0.9974472373723984,0.0022489340510219334,0.07217605039477348,0.9111063182353973,0.8371276259422302,0.0035436484473757445,0.9091275483369827,0.0006762849807273597,0.001294714388641296,0.0012532125547295436,0.9995638185739517,2177.9411561170355,15400,100,0.0022489340510219334
head,15401,0.9973670840263367,0.002171558297704905,0.07308879680931568,0.911161944270134,0.8375224173069,0.0036356875160709025,0.9090766161680222,0.0007151997633627616,0.001464129229716491,0.0010999228106811643,0.9995247590541839,2192.2181556120386,15500,100,0.002171558297704905
head,15501,0.9974502176046371,0.0021772448462434113,0.07198738493025303,0.9112227559089661,0.8377960622310638,0.0036980116122867913,0.9093476235866547,0.000721061825970537,0.001520766780959093,0.0013967397389933467,0.9995174342393875,2206.3958695930423,15600,100,0.0021772448462434113
head,15601,0.9973081946372986,0.002219157812651247,0.07367441989481449,0.9113214164972305,0.8383551239967346,0.003525340303312987,0.9094981104135513,0.0008669218659633771,0.0013061824843316572,0.0012628280746866949,0.9995670753717423,2220.609335820044,15700,100,0.002219157812651247
head,15701,0.9973596036434174,0.002295376321999356,0.07327659614384174,0.9113783091306686,0.838228240609169,0.003819877081550658,0.9092023074626923,0.0010664593864930794,0.0015245007351768437,0.001214816133142449,0.999479188323021,2234.832158056056,15800,100,0.002295376321999356
head,15801,0.9975522458553314,0.002210087839048356,0.07067197561264038,0.9114038050174713,0.8377750813961029,0.003640963186044246,0.9095681458711624,0.0003220721810066607,0.0014308753414297825,0.0006450003202189691,0.9995312690734863,2249.226335372051,15900,100,0.002210087839048356
head,15901,0.9974007904529572,0.0022091916459612546,0.0726807452738285,0.9114847332239151,0.8379730433225632,0.0035841256531421095,0.9093702137470245,0.0011949053150601685,0.0013749340068898164,0.0017625209293328226,0.9995328944921493,2263.433919148053,16000,100,0.0022091916459612546
head,16001,0.9974759072065353,0.0021780365495942533,0.07163827493786812,0.9115261137485504,0.8381536453962326,0.0034950282610952854,0.9094500243663788,0.0009508824696240481,0.0013169917172490386,0.0012269952712813392,0.9995564967393875,2277.6092720600473,16100,100,0.0021780365495942533
head,16101,0.997533917427063,0.002040083920583129,0.07086346857249737,0.9116000831127167,0.8388494253158569,0.003280338275944814,0.9099289327859879,0.0005960017879260704,0.0012402543633652386,0.0009466565534239635,0.999605325460434,2291.7332480140494,16200,100,0.002040083920583129
head,16201,0.9974016845226288,0.0022095763857942073,0.07271967828273773,0.911615177989006,0.8383079469203949,0.003783400082029402,0.9095099419355392,0.0011726435077434871,0.0015738237026380374,0.0016230989931500517,0.9994987165927887,2305.8641607750496,16300,100,0.0022095763857942073
head,16301,0.9974953234195709,0.0021513267350383104,0.07142502814531326,0.9116965979337692,0.8382782340049744,0.0034733824618160725,0.9097827821969986,0.00035843593286699615,0.0013220557202294004,0.0008868123986758292,0.9995581239461899,2320.1635370310623,16400,100,0.0021513267350383104
head,16401,0.9975518584251404,0.0021438964817207307,0.07055487483739853,0.9117657542228699,0.8385574370622635,0.0035677124559879304,0.9095469117164612,0.0009982566916733049,0.0014238159977685426,0.0008434530536760576,0.9995394033193589,2334.4531578850574,16500,100,0.0021438964817207307
head,16501,0.9975009262561798,0.0020691051962785424,0.0711984084919095,0.9118041694164276,0.8385277688503265,0.0031680509517900647,0.9098448157310486,0.0011475490505290509,0.0010989457770847367,0.0012946381557412678,0.9996354365348816,2348.5912465630545,16600,100,0.0020691051962785424
head,16601,0.9973331242799759,0.0021344821504317222,0.07364862412214279,0.9118575006723404,0.8379993438720703,0.0036585351102985443,0.9102628082036972,0.000887940674147103,0.0015240529487346066,0.00196121382759884,0.9994987165927887,2362.8067964980482,16700,100,0.0021344821504317222
head,16701,0.9973162859678268,0.0021463419508654623,0.07384942285716534,0.9118633419275284,0.8377568423748016,0.0033281146676745264,0.9099629521369934,0.00048433503980049863,0.0011817727124434896,0.0011888356821145862,0.9995890480279922,2376.9784264740438,16800,100,0.0021463419508654623
