first_update,update,updates_in_bin,training_seconds,state_ce,token_accuracy
20601,20700,100,1117.6816237159474,0.0028710828591283644,0.9994620925188065
20701,20800,100,1123.1403881849656,0.0022354978788644074,0.9995556801557541
20801,20900,100,1128.6022104249605,0.0024441135080996903,0.999495462179184
20901,21000,100,1134.0864705779932,0.0023606457553978543,0.9995166200399399
21001,21100,100,1139.558330646967,0.002745058618456824,0.9994645363092423
21101,21200,100,1145.0069025689772,0.0017381340527936118,0.9996582174301147
21201,21300,100,1150.474205249986,0.002512888338678749,0.9995247602462769
21301,21400,100,1155.9568765269833,0.0027341985632665456,0.9994531452655793
21401,21500,100,1161.4345309990058,0.002618960417166818,0.9995377790927887
21501,21600,100,1166.9034674550057,0.0023262620538298507,0.9995345222949982
21601,21700,100,1172.3187957470036,0.0019434743658348452,0.9995947444438934
21701,21800,100,1177.7415977729906,0.0022652305316296405,0.9995467323064804
21801,21900,100,1183.1522078259986,0.002540337139798794,0.9995052248239518
21901,22000,100,1188.5543248869835,0.002785706460563233,0.9994816255569458
22001,22100,100,1193.9260266639976,0.002477447984565515,0.9994897615909576
22101,22200,100,1199.314315327978,0.002590575294161681,0.9995483547449112
22201,22300,100,1204.7242724429816,0.002533777561329771,0.9994889485836029
22301,22400,100,1210.092302320998,0.0026121453988889698,0.9994710439443588
22401,22500,100,1215.4181874250062,0.0018676267343107611,0.9996354305744171
22501,22600,100,1220.751300427004,0.0019166200584731995,0.9996183401346207
22601,22700,100,1226.1003240030186,0.002290771306725219,0.9995483553409577
22701,22800,100,1231.4470313669917,0.002466399744007504,0.9995117360353469
22801,22900,100,1236.7910241529898,0.0026509976251691113,0.999520686864853
22901,23000,100,1242.1355622119772,0.002254589480435243,0.9995638167858124
23001,23100,100,1247.4589406469386,0.0025492192851379516,0.9994637203216553
23101,23200,100,1252.7702477899547,0.002441903627186548,0.9995564931631088
23201,23300,100,1258.0880404789386,0.002385044870316051,0.9995589369535446
23301,23400,100,1263.4160953159371,0.0022149871475994586,0.99960857629776
23401,23500,100,1268.768614574943,0.0019199245880008676,0.999631359577179
23501,23600,100,1274.1775107919493,0.0021897751463984603,0.9995833462476731
23601,23700,100,1279.5612055859747,0.002252756843008683,0.9995727670192719
23701,23800,100,1284.9833524639762,0.002639224150334485,0.9995011562108993
23801,23900,100,1290.4186497459887,0.0018991807446582243,0.9996329915523529
23901,24000,100,1295.8391761830026,0.002638836269616149,0.9995394027233124
24001,24100,100,1301.2492643759942,0.0017153950776992134,0.9996891403198243
24101,24200,100,1306.6227895529883,0.002343238365428988,0.9995621907711029
24201,24300,100,1311.9807299690037,0.002073045347351581,0.9996167129278183
24301,24400,100,1317.362282801987,0.002704143398150336,0.9995296365022659
24401,24500,100,1322.7300360930058,0.0021139553464308847,0.99960369348526
24501,24600,100,1328.1535841630066,0.002619181763002416,0.9995597487688065
24601,24700,100,1333.5688018020046,0.0029052771591523197,0.9994978988170624
24701,24800,100,1338.9626672500017,0.0020878233620896937,0.9996386879682541
24801,24900,100,1344.3695506309923,0.0018313315587874968,0.9996818166971206
24901,25000,100,1349.7849877859953,0.002631599118903978,0.9995638179779053
25001,25100,100,1355.1788433780093,0.0027182297690887935,0.9995149886608123
25101,25200,100,1360.5699479000432,0.0023387191884103233,0.9996289247274399
25201,25300,100,1365.9407274150471,0.0023983794101513924,0.9995882344245911
25301,25400,100,1371.2915688970388,0.0020726444163301494,0.9996183437108993
25401,25500,100,1376.7231701830242,0.0018808486267516856,0.9996093893051148
25501,25600,100,1382.10211840802,0.002005817361496156,0.9996240401268005
25601,25700,100,1387.483016080012,0.0028812074467714412,0.9994905769824982
25701,25800,100,1392.8583027670247,0.0022001218353398144,0.9995988082885742
25801,25900,100,1398.272281362013,0.0018541577158612199,0.9996834462881088
25901,26000,100,1403.6556798499914,0.002367699805618031,0.999581722021103
26001,26100,100,1409.025034148981,0.0021205114606709687,0.9996329891681671
26101,26200,100,1414.3407966269915,0.002011740117886802,0.9996549642086029
26201,26300,100,1419.7042859389912,0.002267449245409807,0.9995882344245911
26301,26400,100,1425.0418321319776,0.0021453468794061336,0.9996167147159576
26401,26500,100,1430.3761302619932,0.002393639667134266,0.9995955538749695
26501,26600,100,1435.732776767978,0.0024338607038225744,0.9996142715215683
26601,26700,100,1441.0540502719705,0.0020481536057195627,0.999647639989853
26701,26800,100,1446.394497149966,0.002177157825208269,0.9996036940813064
