first_update,injection_coefficient,latent_cosine,latent_loss,latent_relative_l2,latent_rms,latent_variation_rms,loss,predicted_latent_rms,predicted_state_ce,state_ce,teacher_predicted_kl,token_accuracy,training_seconds,update,updates_in_bin,weighted_latent_loss
4001,0.00033620000000000004,0.973638266324997,0.025097245629876853,0.23031898587942123,0.9532948136329651,0.8947426974773407,0.0424233453348279,0.9221716225147247,0.012100694002583623,0.01732609967701137,0.010494687361642718,0.9942358607053756,440.50680460199055,4100,100,0.025097245629876853
4101,0.00035280000000000006,0.9784394651651382,0.02051183132454753,0.20860805362462997,0.9523472636938095,0.8893485963344574,0.03461536889895797,0.930934488773346,0.010053358506411314,0.01410353763960302,0.00940725754480809,0.9954272663593292,451.09754431199417,4200,100,0.02051183132454753
4201,0.0003698,0.9806437641382217,0.017964635416865347,0.19785040616989136,0.9520136266946793,0.8844117224216461,0.031987465657293795,0.9347516149282455,0.011619183700531721,0.014022830296307803,0.00993757788091898,0.995394715666771,461.65473929799737,4300,100,0.017964635416865347
4301,0.0003872,0.9825959503650665,0.016311909360811113,0.18755295872688293,0.9519672393798828,0.8817966282367706,0.02944002013653517,0.9375074058771133,0.01023801090195775,0.013128110654652119,0.009375027497299016,0.9957592958211898,472.22224821699547,4400,100,0.016311909360811113
4401,0.000405,0.9834317415952682,0.014998262273147702,0.18317235261201859,0.952085018157959,0.8808264583349228,0.027248591464012862,0.9393232762813568,0.00859629933256656,0.012250329200178385,0.008678651065565646,0.996102722287178,482.806896617999,4500,100,0.014998262273147702
4501,0.0004232,0.9847055226564407,0.01439145950600505,0.17591660097241402,0.9522205144166946,0.880690336227417,0.02607199516147375,0.9392237216234207,0.009397124056704342,0.011680535678751767,0.00785862049087882,0.9962410706281662,493.57748710699616,4600,100,0.01439145950600505
4601,0.0004418,0.9846198856830597,0.013944478696212173,0.17636838927865028,0.952402725815773,0.8806833177804947,0.025522694438695908,0.9389676600694656,0.01083844539243728,0.01157821572618559,0.010595575324259698,0.9962508362531662,504.4187986429961,4700,100,0.013944478696212173
4701,0.00046080000000000003,0.9847965389490128,0.013716239631175995,0.17542879655957222,0.9524748176336288,0.8821417093276978,0.025936018135398628,0.9410973787307739,0.009023364749737084,0.012219778522849082,0.009308545384556055,0.9959741401672363,515.1530519159905,4800,100,0.013716239631175995
4801,0.00048020000000000007,0.986070916056633,0.013244530986994504,0.16797423735260963,0.9525405466556549,0.8809929192066193,0.023648460358381272,0.9426706731319427,0.007618217379786074,0.010403929385356605,0.006972601520828903,0.996586120724678,525.7396191989983,4900,100,0.013244530986994504
4901,0.0005000000000000001,0.9863935112953186,0.012750993929803372,0.16607801616191864,0.9526000767946243,0.8787030726671219,0.023502124324440956,0.9420869946479797,0.00856254412792623,0.010751130520366131,0.006609142874367535,0.9965096235275268,536.4476318359975,5000,100,0.012750993929803372
